epoch,accuracy,loss,val_accuracy,val_loss
0,0.804983318,0.4775168,0.839699984,0.268621743
1,0.864466667,0.245772272,0.899100006,0.201111808
2,0.91566664,0.184875473,0.922500014,0.16323866
3,0.939716637,0.151855156,0.939100027,0.141158268
4,0.951066673,0.128917664,0.95660001,0.128523961
5,0.963333309,0.112113647,0.960399985,0.118422396
6,0.96875,0.100343771,0.963999987,0.113091186
7,0.974066675,0.090079136,0.965499997,0.106444485
8,0.977150023,0.081576392,0.966499984,0.102061376
9,0.979849994,0.074048378,0.969500005,0.099947624
10,0.982183337,0.069681421,0.971099973,0.095875904
11,0.984499991,0.063349895,0.970700026,0.094892099
12,0.986333311,0.058860518,0.972100019,0.092665605
13,0.987783313,0.055130661,0.974399984,0.089638583
14,0.989133358,0.051674377,0.973200023,0.090338111
15,0.990549982,0.047942296,0.974399984,0.089329906
16,0.991416693,0.045434989,0.972800016,0.089395791
17,0.991866648,0.043004382,0.973399997,0.086096883
18,0.992900014,0.040388547,0.9745,0.085062742
19,0.993366659,0.038824685,0.975000024,0.085118644
20,0.994149983,0.036793139,0.975700021,0.084545538
21,0.994433343,0.035043895,0.97299999,0.085538402
22,0.995283306,0.032871738,0.974300027,0.083826087
23,0.995350003,0.032192986,0.974699974,0.085434705
24,0.995850027,0.031680614,0.975399971,0.084069081
25,0.996083319,0.02936203,0.975700021,0.081604593
26,0.996433318,0.028431643,0.976000011,0.082585819
27,0.99696666,0.027630461,0.975899994,0.081716537
28,0.997049987,0.026319744,0.975799978,0.082246847
29,0.996999979,0.025681987,0.976999998,0.081213564
